project_id,client,title,summary,systems,personas,featured,visible
P001,South32,Payroll and workforce compliance partnership,"A multi year analytics partnership covering EBA compliance, leave accruals and payments, public holidays, superannuation, payroll tax and wage code configuration. Identified and helped remediate compliance exposures across multiple award and EBA scenarios.",SAP HCM | SuccessFactors,business|data,TRUE,TRUE
P003,Fortescue,Payroll continuous controls monitoring,"Designed and delivered a payroll CCM solution integrating SAP ECP and SuccessFactors, surfaced through SAP Analytics Cloud and Power BI, giving ongoing assurance over payroll accuracy and compliance.",SAP ECP | SuccessFactors | SAP Analytics Cloud | Power BI,business|data,TRUE,TRUE
P006,Northern Star,Payroll monitoring on Snowflake,"An end to end payroll monitoring solution with a Snowflake back end and Power BI front end, integrating SAP ECP, SuccessFactors and Pronto. Established repeatable monitoring across heterogeneous source systems.",Snowflake | Power BI | SAP ECP | SuccessFactors | Pronto,business|data,TRUE,TRUE
P011,Worley,Global internal audit digital capability,"Led digital capability for a global internal audit program spanning 100+ countries and 50+ audits a year. Set the digital strategy, deployed analytics tooling and lifted maturity from a low base.",Power BI | SQL | Multiple analytics platforms,business,TRUE,TRUE
P012,Worley,Enterprise data quality and governance review,"Led the largest data quality, governance and validation review undertaken at Worley, covering enterprise scale assessment, governance framework design and validation across global operations.",Data governance | Data quality | Validation frameworks,data,TRUE,TRUE
P015,Healthcare provider,Five year workforce analytics partnership,"A sustained workforce analytics partnership covering rostering compliance, late rostering changes, overtime, superannuation and breaks rostering for a major Australian healthcare provider.",SAP HCM | SuccessFactors | Kronos,business,TRUE,TRUE
P027,EY,Modular risk and controls analytics platform,"Designed a modular analytics platform on Azure SQL using a layered ref / active / archive architecture and a run based snapshot model, with a Power BI front end. Reusable across clients, reducing per engagement build effort.",Azure SQL | Power BI,data,TRUE,TRUE
P030,EY,National Risk Analytics practice build out,"Grew the Oceania Risk Analytics practice from 3 to 16 across multiple cities. Designed the operating model, built a structured training program and led the AI adoption and responsible use program.",Operating model | Capability uplift | AI adoption,business|data,TRUE,TRUE
P031,Unified Honey,Snowflake Native App,"A Snowflake Native App in the Snowflake Startup Accelerator. Led go to market strategy and contributed to data governance framework design covering lineage, quality rules and semantic definitions for governed, agent ready data products.",Snowflake | Data governance | Native Apps,data,TRUE,TRUE
P026,20+ organisations,Superannuation compliance reviews,Led superannuation compliance reviews across 20+ organisations covering SG Act compliance and contractual obligations under EBAs and individual agreements. Identified material underpayment exposures.,SAP | Multiple payroll systems,business,TRUE,TRUE
