skill_id,domain,category,skill,description,proficiency,personas,featured,visible
SK001,Data Technical,BI & Visualisation,Power BI,"DAX, Power Query/M, dataflows, workspaces, row-level security, paginated reports",Expert,business|data,Y,TRUE
SK002,Data Technical,BI & Visualisation,SAP Analytics Cloud,Reporting and visualisation platform for finance and HR analytics,Proficient,business|data,N,TRUE
SK003,Data Technical,BI & Visualisation,Advanced Excel,"Complex formulas, Power Query, pivots, modelling",Expert,business|data,N,TRUE
SK010,Data Technical,Data Engineering,SQL,"Advanced query writing, optimisation and analysis across multiple dialects",Expert,business|data,Y,TRUE
SK011,Data Technical,Data Engineering,Python,"Analysis, automation and reusable widget development",Proficient,business|data,Y,TRUE
SK012,Data Technical,Data Engineering,ETL & pipeline design,"End to end pipeline design, build, management and monitoring",Expert,data,Y,TRUE
SK020,Data Technical,Data Modelling,Dimensional modelling,"Star and snowflake schemas, fact and dimension design, SCD patterns",Expert,data,Y,TRUE
SK021,Data Technical,Data Modelling,Entity-relationship modelling,Logical and physical ER design for transactional and analytical systems,Expert,data,Y,TRUE
SK022,Data Technical,Data Modelling,Medallion / lakehouse,"Bronze, silver, gold layered design for scalable analytics",Proficient,data,Y,TRUE
SK030,Data Technical,Data Platforms,Snowflake,"Implementation, management, governance, pipelines and Native App development",Expert,data,Y,TRUE
SK031,Data Technical,Data Platforms,Azure SQL,"Cloud hosted relational database: design, build, operate",Expert,data,Y,TRUE
SK032,Data Technical,Data Platforms,Microsoft Fabric,Conceptual exposure through recent project work,Familiar,data,N,TRUE
SK033,Data Technical,Data Platforms,Databricks,Conceptual exposure through recent project work,Familiar,data,N,TRUE
SK040,Data Technical,Data Management,Data governance frameworks,"Frameworks covering ownership, stewardship, policy and standards",Expert,data,Y,TRUE
SK041,Data Technical,Data Management,Data quality & validation,Enterprise scale data quality reviews and rule based validation,Expert,data|business,Y,TRUE
SK042,Data Technical,Data Management,Data lineage & cataloguing,"Source to consumption mapping, semantic definitions and governed data products",Proficient,data,N,TRUE
SK043,Data Technical,Data Management,Data privacy & protection,"Access controls, de-identification and privacy for HR and payroll data",Proficient,data,N,TRUE
SK050,Risk,Controls & Assurance,Continuous controls monitoring,"CCM design and implementation across payroll, finance and HR processes",Expert,business,Y,TRUE
SK051,Risk,Controls & Assurance,Internal audit analytics,Global internal audit program: analytics and digital capability,Expert,business,Y,TRUE
SK052,Risk,Controls & Assurance,Risk & controls ontology,"Ontologies linking risks, controls, processes and data",Proficient,business,N,TRUE
SK053,Risk,Controls & Assurance,Dynamic risk assessment,Scenario based dynamic risk assessment tooling,Proficient,business,N,TRUE
SK060,Systems,People Systems,SAP SuccessFactors,"Back end, configuration, implementation and user level expertise",Expert,data,Y,TRUE
SK061,Systems,People Systems,SAP ECP,Employee Central Payroll: payroll engine configuration and data,Expert,data,Y,TRUE
SK062,Systems,People Systems,SAP HCM,"On premise HR and payroll: schema, infotypes, payroll clusters",Expert,data,Y,TRUE
SK070,Systems,Workforce Management,Kronos,"Workforce management, time and attendance platform",Expert,data,Y,TRUE
SK071,Systems,Workforce Management,RITEQ,Rostering and time and attendance platform,Proficient,data,N,TRUE
SK080,Systems,ERP,Pronto,"Mid-market ERP: finance, inventory, HR modules",Proficient,data,N,TRUE
SK090,Domain Expertise,Payroll Compliance,Payroll compliance analytics,"End to end payroll analytics and exception reporting across leave, tax, wages and hours",Expert,business,Y,TRUE
SK091,Domain Expertise,Payroll Compliance,Superannuation compliance,SG Act and contractual superannuation testing at scale,Expert,business,Y,TRUE
SK092,Domain Expertise,Payroll Compliance,EBA & award interpretation,Testing pay outcomes against enterprise agreements and modern awards,Expert,business,Y,TRUE
SK100,Domain Expertise,Workforce,Rostering analytics,"Rostering pattern analysis, late-change detection, compliance and overtime testing",Expert,business,Y,TRUE
SK101,Domain Expertise,Workforce,FIFO & remote workforce,"FIFO rostering, leave, fatigue and compliance for remote site operations",Expert,business,Y,TRUE
SK102,Domain Expertise,Workforce,Workforce planning,"Strategic workforce planning, scenario analysis and turnover/churn analytics",Expert,business,Y,TRUE
SK110,Solutions & Automation,RPA,UiPath,"Enterprise RPA: assessment, build, UAT, post production validation",Expert,business,Y,TRUE
SK120,Solutions & Automation,Low-code & Workflow,Power Automate,Workflow automation across Microsoft 365 and line of business systems,Proficient,business|data,N,TRUE
SK121,Solutions & Automation,Low-code & Workflow,Power Apps,Low-code app development on the Power Platform,Proficient,business|data,N,TRUE
SK130,Solutions & Automation,AI,AI integration in analytics,Practical integration of AI tooling into day to day analytics delivery,Proficient,business|data,Y,TRUE
SK131,Solutions & Automation,AI,Responsible AI frameworks,Framework design for responsible AI use within analytics teams,Proficient,business|data,N,TRUE
SK132,Solutions & Automation,AI,Copilot Studio,Low-code agent and copilot development on the Microsoft stack,Familiar,data,N,TRUE
SK140,Solutions & Automation,Custom Development,Python widgets & tooling,Reusable Python widgets to accelerate analytics delivery,Proficient,data,N,TRUE
